file,orig_class,status,reason
ship-318,ship,VALID,ok
ship-319,ship,VALID,ok
ship-320,ship,VALID,ok
ship-321,ship,VALID,ok
ship-322,ship,VALID,ok
ship-323,ship,VALID,ok
ship-324,ship,VALID,ok
ship-325,ship,VALID,ok
ship-326,ship,VALID,ok
ship-327,ship,VALID,ok
ship-328,ship,VALID,ok
ship-329,ship,VALID,ok
ship-330,ship,VALID,ok
ship-331,ship,VALID,ok
ship-332,ship,VALID,ok
ship-333,ship,VALID,ok
ship-334,ship,VALID,ok
ship-335,ship,VALID,ok
ship-336,ship,VALID,ok
ship-337,ship,VALID,ok
ship-338,ship,VALID,ok
ship-339,ship,VALID,ok
ship-340,ship,VALID,ok
ship-341,ship,VALID,ok
ship-342,ship,VALID,ok
ship-343,ship,VALID,ok
ship-344,ship,VALID,ok
ship-345,ship,VALID,ok
ship-346,ship,VALID,ok
ship-347,ship,VALID,ok
ship-348,ship,VALID,ok
ship-349,ship,VALID,ok
ship-350,ship,VALID,ok
ship-351,ship,VALID,ok
ship-352,ship,VALID,ok
ship-353,ship,VALID,ok
ship-354,ship,VALID,ok
ship-355,ship,VALID,ok
ship-356,ship,VALID,ok
ship-357,ship,VALID,ok
ship-359,ship,VALID,ok
ship-360,ship,VALID,ok
ship-361,ship,VALID,ok
ship-362,ship,VALID,ok
ship-363,ship,VALID,ok
ship172,ship,VALID,ok
ship173,ship,VALID,ok
ship174,ship,VALID,ok
ship175,ship,VALID,ok
ship176,ship,VALID,ok
ship177,ship,VALID,ok
ship178,ship,VALID,ok
ship179,ship,VALID,ok
ship180,ship,VALID,ok
ship181,ship,VALID,ok
ship182,ship,VALID,ok
ship183,ship,VALID,ok
ship184,ship,VALID,ok
ship185,ship,VALID,ok
ship186,ship,VALID,ok
ship187,ship,VALID,ok
ship188,ship,VALID,ok
ship189,ship,VALID,ok
ship190,ship,VALID,ok
ship191,ship,VALID,ok
ship192,ship,VALID,ok
ship193,ship,VALID,ok
ship194,ship,VALID,ok
ship195,ship,VALID,ok
ship196,ship,VALID,ok
ship197,ship,VALID,ok
ship198,ship,VALID,ok
ship199,ship,VALID,ok
ship200,ship,VALID,ok
ship201,ship,VALID,ok
ship202,ship,VALID,ok
ship203,ship,VALID,ok
ship204,ship,VALID,ok
ship205,ship,VALID,ok
ship206,ship,VALID,ok
ship207,ship,VALID,ok
ship208,ship,VALID,ok
ship209,ship,VALID,ok
ship210,ship,VALID,ok
ship211,ship,VALID,ok
ship212,ship,VALID,ok
ship213,ship,VALID,ok
ship214,ship,VALID,ok
ship215,ship,VALID,ok
ship216,ship,VALID,ok
ship217,ship,VALID,ok
ship218,ship,VALID,ok
ship219,ship,VALID,ok
ship220,ship,VALID,ok
ship221,ship,VALID,ok
ship222,ship,VALID,ok
ship223,ship,VALID,ok
ship224,ship,VALID,ok
ship225,ship,VALID,ok
ship226,ship,VALID,ok
ship227,ship,VALID,ok
ship228,ship,VALID,ok
ship229,ship,VALID,ok
ship230,ship,VALID,ok
ship231,ship,VALID,ok
ship232,ship,VALID,ok
ship233,ship,VALID,ok
ship234,ship,VALID,ok
ship235,ship,VALID,ok
ship236,ship,VALID,ok
ship237,ship,VALID,ok
ship238,ship,VALID,ok
ship239,ship,VALID,ok
ship240,ship,VALID,ok
ship241,ship,VALID,ok
ship242,ship,VALID,ok
ship243,ship,VALID,ok
ship244,ship,VALID,ok
ship245,ship,VALID,ok
ship246,ship,VALID,ok
ship247,ship,VALID,ok
ship248,ship,VALID,ok
ship249,ship,VALID,ok
ship250,ship,VALID,ok
ship251,ship,VALID,ok
ship252,ship,VALID,ok
ship253,ship,VALID,ok
ship254,ship,VALID,ok
ship255,ship,VALID,ok
ship256,ship,VALID,ok
ship257,ship,VALID,ok
ship258,ship,VALID,ok
ship259,ship,VALID,ok
ship260,ship,VALID,ok
ship261,ship,VALID,ok
ship262,ship,VALID,ok
ship263,ship,VALID,ok
ship264,ship,VALID,ok
ship265,ship,VALID,ok
ship266,ship,VALID,ok
ship267,ship,VALID,ok
ship268,ship,VALID,ok
ship269,ship,VALID,ok
ship270,ship,VALID,ok
ship271,ship,VALID,ok
ship272,ship,VALID,ok
ship273,ship,VALID,ok
ship274,ship,VALID,ok
ship275,ship,VALID,ok
ship276,ship,VALID,ok
ship277,ship,VALID,ok
ship278,ship,VALID,ok
ship279,ship,VALID,ok
ship280,ship,VALID,ok
ship281,ship,VALID,ok
ship282,ship,VALID,ok
ship283,ship,VALID,ok
ship284,ship,VALID,ok
ship285,ship,VALID,ok
ship286,ship,VALID,ok
ship287,ship,VALID,ok
ship288,ship,VALID,ok
ship289,ship,VALID,ok
ship290,ship,VALID,ok
ship291,ship,VALID,ok
ship292,ship,VALID,ok
ship293,ship,VALID,ok
ship294,ship,VALID,ok
ship295,ship,VALID,ok
ship296,ship,VALID,ok
ship297,ship,VALID,ok
ship298,ship,VALID,ok
ship299,ship,VALID,ok
ship300,ship,VALID,ok
ship301,ship,VALID,ok
ship302,ship,VALID,ok
plane-1,plane,VALID,ok
plane-10,plane,VALID,ok
plane-11,plane,VALID,ok
plane-12,plane,VALID,ok
plane-13,plane,VALID,ok
plane-14,plane,VALID,ok
plane-15,plane,VALID,ok
plane-16,plane,VALID,ok
plane-17,plane,VALID,ok
plane-18,plane,VALID,ok
plane-19,plane,VALID,ok
plane-2,plane,VALID,ok
plane-20,plane,VALID,ok
plane-21,plane,VALID,ok
plane-22,plane,VALID,ok
plane-23,plane,VALID,ok
plane-24,plane,VALID,ok
plane-25,plane,VALID,ok
plane-26,plane,VALID,ok
plane-27,plane,VALID,ok
plane-28,plane,VALID,ok
plane-29,plane,VALID,ok
plane-3,plane,VALID,ok
plane-30,plane,VALID,ok
plane-31,plane,VALID,ok
plane-32,plane,VALID,ok
plane-33,plane,VALID,ok
plane-34,plane,VALID,ok
plane-35,plane,VALID,ok
plane-36,plane,VALID,ok
plane-37,plane,VALID,ok
plane-38,plane,VALID,ok
plane-39,plane,VALID,ok
plane-4,plane,VALID,ok
plane-40,plane,VALID,ok
plane-41,plane,VALID,ok
plane-42,plane,VALID,ok
plane-43,plane,VALID,ok
plane-44,plane,VALID,ok
plane-45,plane,VALID,ok
plane-46,plane,VALID,ok
plane-47,plane,VALID,ok
plane-48,plane,VALID,ok
plane-5,plane,VALID,ok
plane-6,plane,VALID,ok
plane-7,plane,VALID,ok
plane-8,plane,VALID,ok
plane-9,plane,VALID,ok
